,Recipe Name,Duration,Difficulty,Calories /pers,Related,Description,Ingredients,Preparation,Dietetique,Astuces,Image url
76,Soupe de légumes marocaine,1 h 20 min,Facile, ,Recettes marocaines,,Carotte(s) (4 ) - Navet(s) (4 ) - Courgette(s) (2 ) - Oignon(s) (2 ) - Tomate(s) (3 ) - Poireau(x) (3 ) - Bouillon de légumes (1 cube(s)) - Safran (1 pincée(s)) - Gingembre en poudre (1 pincée(s)) - Persil hâché ( ) - Huile d'olive ( ),"Nettoyez, épluchez si besoin, et coupez les légumes en petits morceaux. 
- Introduisez-les dans une cocotte-minute avec un verre d'eau, un peu d'huile d'olive, du sel, du poivre, le safran et le gingembre. 
- Faites cuire pendant 15 à 20 minutes en remuant souvent. 
- Au bout de ce temps, remplissez la cocotte-minute d’eau puis ajoutez le cube de bouillon de légumes, le safran et le gingembre en poudre. 
- Laissez cuire à nouveau 30 minutes en vérifiant la cuisson des légumes. 
- A la fin de la cuisson, mixez plus ou moins la soupe de légumes à l'aide d'un mixeur-plongeant selon la consistance que vous souhaitez. 
- Servez de suite cette soupe de légumes à la marocaine dans des bols ou des assiettes creuses. Parsemez chaque portion de persil ciselé. 
- Dégustez bien chaud parsemé de croûtons de pain grillé.", ,"Pour cette recette de Soupe de légumes marocaine, vous pouvez compter 20 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de soupes Aux Legumes, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2016/04/28/i34038-soupe-de-legumes-marocaine.jpg
77,Galette de pomme de terre marocaine,1 h,Facile, ,Recettes marocaines - Pas Cher - Plat pas cher,"Au Maroc, on appelle ces petites galettes de pommes de terre des maâkoudas. Délicieusement parfumées aux épices, elles sont un incontournable de la cuisine maghrébine où elles accompagnent les grillades ou tout simplement les salades fraîches et colorées. Aussi bonne chaude que froide, la galette de pomme de terre à la marocaine est une bien jolie façon de cuisiner la patate !",Pomme(s) de terre (4 ) - Farine (100 g) - Œuf(s) (2 ) - Ail (2 gousse(s)) - Curcuma (1 c. à café) - Persil ( ) - Sel ( ) - Poivre ( ) - Huile pour friture ( ),"Pelez et lavez vos pommes de terre, coupez-les en gros morceaux et mettez-les à cuire dans de l’eau bouillante salée pour 20 min environ.  
- Dans un saladier, écrasez les pommes de terre cuites à la fourchette pour obtenir une purée uniforme. Puis ajoutez les œufs, le persil haché, le curcuma et l’ail finement émincé. Salez et poivrez.  
- Préparez votre huile pour la friture.  
- Façonnez dans vos mains une petite boule de pâte et roulez-la dans la farine. Ensuite, aplatissez-la un peu pour lui donner la forme d’une galette et faites-la frire 5 min jusqu’à ce qu’elle ait une belle couleur dorée. Recommencez jusqu’à épuisement de la pâte.  
- Lorsque les maâkoudas sont cuites, placez-les sur du papier absorbant pour enlever l’excès d’huile. ", ,"Pour une version plus light, vous pouvez faire cuire ces galettes au four. Dans ce cas, façonnez vos boules de pâtes et aplatissez-les sans les passer dans la farine avant. Disposez-les dans un plat à gratin préalablement huilé, arrosez les galettes avec 2 c. à soupe d’huile d’olive, et enfournez à 180 °C pour 30 min. ",https://img.cuisineaz.com/660x660/2018/09/07/i142436-galette-de-pomme-de-terre-marocaine.jpeg
78,Couscous au boeuf et légumes à la marocaine,3 h 30 min,Facile, ,Recettes marocaines,,"Couscous (200 g) - Viande de boeuf (335 g) - Courge (100 g) - Fève fraîche(s) (85 g) - Pois chiches (65 g) - Oignon(s) (1,5 ) - Carotte(s) (1 ) - Courgette(s) (1 ) - Navet(s) (1 ) - Tomate(s) (0,5 ) - Chou vert (0,5 ) - Persil (0,5 botte(s)) - Eau (65 cl) - Huile d'olive ( ) - Gingembre en poudre ( ) - Safran ( ) - Sel, poivre ( )","Lavez et épluchez tous les légumes sauf la courgette. Sur celle-ci, à l'aide d'une fourchette, tracez de légers sillons. 
- Découpez dans le sens de la longueur la carotte, les courges et la courgette et faites des bâtonnets d'une dizaine de centimètres. 
- Tranchez la ½ tomate, le ½ chou vert, le navet en deux. 
- Dans un récipient, versez 1 c. à café de gingembre, 1 c. à café de safran en poudre et 1 pincée de safran en pistils. Mélangez bien. 
- Dans une cocotte-minute, mettez la viande de bœuf. Ajoutez l’oignon coupé (réservez une partie pour la suite), la moitié du mélange d’épices.  
- Arrosez d’1 c. à thé d’huile d’olive et déposez dessus une petite botte de persil. Salez, poivrez. Mélangez. 
- Laissez revenir le tout pendant 5 min et mouillez avec de l’eau de sorte que la viande soit complètement immergée. 
- Fermez votre cocotte, et laissez cuire pendant 1 h 30 min en mode pression. 
- Mettez ce temps à profit pour préparer la semoule. 
- Mouillez les grains de semoule avec 1 c. à soupe d’huile d’olive et 25 cl d’eau. Mélangez soigneusement. 
- Dans la casserole du couscoussier, disposez les os du boucher, ajoutez le reste des oignons coupés, les tomates, les pois chiches, le reste du mélange d'épices, 1 c. à thé de l'huile d'olive et le reste du persil. 
- Salez et poivrez.  
- Mélangez délicatement. Arrosez le tout avec 1 litre d’eau. 
- Déposez dessus le panier du couscoussier et portez à feu moyen. 
- Lorsque la vapeur commence à s’échapper du couscoussier, versez dans le panier les grains de semoule humidifiés. 
- Faites mijoter pendant 30 min. 
- Retirez le panier de semoule du couscoussier, et versez-la dans un grand plat. Remuez encore une fois en arrosant de 15 cl d'eau salée et de 2 c. soupe d'huile d'olive. 
- Incorporez dans votre casserole sur le feu, le reste des légumes et immergez-les avec suffisamment d'eau. 
- Remettez au-dessus de la casserole, le panier vide et patientez quelques instants. Dès que la vapeur s'échappe de nouveau, remettez la semoule dans le panier et laissez mijoter pendant 1 h supplémentaire.  
- C’est prêt ! 
- Dans un grand plat, versez la semoule et disposez au centre la viande.  
- Arrosez-la de son bouillon. 
- Décorez votre plat avec les légumes en les disposant tout autour de la viande de boeuf. Arrosez le tout du jus des légumes.", ,"Pour cette recette de Couscous au boeuf et légumes à la marocaine, vous pouvez compter 60 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de couscous, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2016/04/28/i75598-couscous-au-boeuf-et-legumes-a-la-marocaine.jpg
79,Brioche marocaine,1 h,Intermédiaire, ,Recettes marocaines,"La brioche Krachel est une brioche marocaine originaire de la ville impériale de Fès au Maroc. Elle a pour habitude d’être servie au petit déjeuner accompagnée de miel ou de confiture. Avec son parfum de fleur d’oranger et d’anis, elle se déguste tout juste sortie du four…",Farine (500 g) - Sucre (100 g) - Œuf(s) (2 ) - Beurre (60 g) - Lait (20 cl) - Levure boulangère (20 g) - Graines de sésame (2 c. à soupe) - Eau de fleur d'oranger (2 c. à soupe) - Huile (8 cl) - Anis (1 c. à soupe) - Sel (1 c. à café) - A corriger (1 c. à soupe),"Diluez la levure dans une casserole avec de l’eau. Laissez mousser pendant 15 min à feu doux. Mélangez dans un saladier la farine, le sucre, les graines de sésame, l’anis et le sel. Faites fondre le beurre et ajoutez-le à la préparation. Pétrissez la pâte à la main. Dans un bol, battez un oeuf et ajoutez-le au mélange avec la levure, le lait et l’eau de fleur d’oranger. Continuez de pétrir afin d’obtenir une pâte souple et lisse. Formez une boule de pâte et déposez-la dans un saladier huilé. Couvrez et laissez lever pendant 1h30 dans un endroit tempéré. La pâte doit doubler de volume.  
- Dégazez la pâte. Versez de l’huile sur vos mains et façonnez 8 boules de pâte distinctes. Déposez-les sur une plaque de cuisson recouverte de papier sulfurisé. Couvrez et laissez à nouveau reposer la pâte pendant 30 min.  
- Pendant ce temps, préchauffez le four à 180°C (th.6). Une fois la pâte levée, badigeonnez les boules avec le jaune de l’oeuf restant. Parsemez avec du sucre perlé et les dernières graines de sésame. Enfournez pour 20 min jusqu’à ce que les brioches soient dorées. Avant de servir, laissez refroidir les brioches sur une grille.", ,"Ce pain brioché se savoure tout particulièrement pendant le mois du Ramadan. Vous pourrez en profiter pour tester ses différentes déclinaisons : à l’orange, au chocolat, au citron... ",https://img.cuisineaz.com/660x660/2018/07/23/i141064-brioche-marocaine.jpeg
80,Collier d'agneau aux tomates et paprika façon marocaine,45 min,Facile, ,Recettes marocaines - Pas Cher - Plat pas cher,,Collier d'agneau (500 g) - Tomate concassée (800 g) - Paprika ( ) - Ail (1 Gousse) - Huile d'olive ( ) - Persil ( ),"Sur votre planche de cuisine, découpez le collier d'agneau en morceaux.  
- Posez une poêle anti adhésive au feu.  
- Mettez-y les morceaux d'agneau.  
- Faites-les revenir sans ajout de matière grasse.  
- Après quelques instants, parsemez-les de 2 c. à soupe de paprika.   
- Épluchez l’ail et rincez-le. Écrasez-le au presse-ail. 
- Puis, mettez-le dans un bol creux. Ajoutez les tomates et 1 c. à café d’huile d’olive.  
- Versez ce mélange sur la viande.  
- Remuez à la spatule puis couvrez la poêle.  
- Laissez étuver la viande pendant 30 min.   
- Saupoudrez-la de 1 c. à soupe de persil en fin de cuisson.  
- Servez aussitôt.", ,"Pour cette recette de Collier d'agneau aux tomates et paprika façon marocaine, vous pouvez compter 15 minutes de préparation. Pour en savoir plus sur les aliments de cette recette d'agneau, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2017/02/06/i120336-collier-d-agneau-aux-tomates-et-paprika-facon-marocaine.jpeg
81,Makrouts,40 min,Facile, ,Ramadan - Recettes marocaines - Recettes algériennes - Aïd - Datte - Pas Cher - Recettes tunisiennes - Dessert pas cher,"Les makrouts sont de délicieuses pâtisseries orientales constituées d'un gâteau de semoule fourré à la pâte de dattes. Celui-ci est frit, puis trempé dans du miel. Il se déguste accompagné de thé à la menthe. Il s'agit d'une recette plutôt simple mais comportant plusieurs étapes et un façonnage minutieux.","Semoule (300 g) - Beurre mou (200 g) - Eau de fleur d'oranger (1 verre(s)) - Miel (1 verre(s)) - Eau (0,5 verre(s)) - Cannelle en poudre ( ) - Clou(s) de girofle en poudre (1 pincée(s)) - Sel fin ( ) - Pâte de datte (300 g)","Préchauffez le four à 180°C. Pendant ce temps, dans un grand saladier, mélangez la semoule et le beurre mou jusqu'à former une pâte. Faites un puits dans cette pâte, mettez-y le sel, la poudre de cannelle, la poudre de girofle, et peu à peu la fleur d'oranger. Pétrissez longuement, jusqu'à la consistance d'une pâte épaisse.  
- Prenez une bonne quantité de la pâte, façonnez un boudin. Avec votre index, faites une fente au centre dans le sens de la longueur. Roulez un petit boudin de pâte de dattes et introduisez-le dans la fente. Remontez les bords de la pâte sur les dattes afin de la recouvrir entièrement. Roulez ce nouveau boudin sur lui-même pour lui donner une jolie forme et  découpez-le en tranches à 4 à 5 cm. Dessinez des traits sur le dessus des tranches avec une fourchette et posez-les à plat sur une plaque de four recouverte de papier sulfurisé. 
- Enfournez pendant 20 minutes. Lorsqu'ils sont cuits, mettez les makrouts sur un plat de service et arrosez-les d'un sirop de miel. Dégustez tièdes ou froids.", ,"Les makrouts peuvent aussi être frits. Il est aussi possible de réaliser votre pâte de datte maison de façon très simple : dénoyautez vos dattes, faites-les cuire à la vapeur jusqu'à ce qu'elles soient tendres. Ajoutez-y 1 c. à soupe d’huile, de cannelle, de clou de girofle et mixez le tout.",https://img.cuisineaz.com/660x660/2015/05/12/i48122-makrouts.jpg
82,Coquelets marinés à la marocaine,40 min,Facile, ,Recettes marocaines,"Comment cuisiner des coquelets? Si vous vous êtes déjà posé la question de quelle recette choisir pour un repas en famille, alors réalisez cette recette de coquelets marinés à la marocaine. Composé d'un assaisonnement à base d'ail, de persil, de moutarde, d'huile d'olive, de cumin et de paprika, régalez-vous avec ces volailles que vous pourrez accompagner de légumes de saison.","Coquelet (4 ) - Ail (6 gousse(s)) - Persil frais (1 bouquet(s)) - Moutarde forte (1 c. à soupe) - Huile d'olive (1 c. à soupe) - Cumin en poudre (1 c. à café) - Paprika en poudre (1 c. à café) - Sel (0,5 c. à café) - Poivre (0,5 c. à café)","La veille, lavez les coquelets et essuyez-les à l’aide d’un torchon bien propre. Ouvrez-les ensuite en deux, côté poitrine. Nettoyez et épongez le persil frais. Hachez-le finement. Pelez et émincez l'ail. Mélangez l’ail émincé, le persil haché, le cumin et le paprika en poudre, la moutarde forte, l'huile d'olive, le sel et le poivre dans un plat creux. 
- Déposez les coquelets dans le plat creux et laissez-les mariner au frais pendant toute une nuit. Le lendemain, allumez votre barbecue. Egouttez les coquelets marinés à la marocaine et faites-les griller au barbecue pendant 20 minutes, en les retournant à mi-cuisson. Conservez la marinade et versez-la dans une saucière. 
- Quand les coquelets sont bien cuits comme vous le souhaitez, servez-les de suite dans les assiettes et nappez-les de marinade. Dégustez bien chaud accompagnés de pommes de terre rôties, de frites ou encore de riz ou de pâtes fraîches.", ,"Il est également possible de remplacer les coquelets avec du poulet, des cailles ou des pigeons.",https://img.cuisineaz.com/660x660/2016/03/17/i113789-coquelets-marines-a-la-marocaine.jpg
83,Tajine de mouton à la marocaine,2 h,Facile, ,Recettes marocaines,Vous aimez le mouton ? Ce tajine aux amandes est fait pour vous.,"Viande de mouton (1 kg) - Tomate(s) (4 ) - Pied(s) de céleri (1 ) - Amande(s) mondée(s) (150 g) - Oignon(s) (2 ) - Ail (2 gousse(s)) - Coriandre fraîche (1 bouquet(s)) - Safran (1 dose(s)) - Huile d'olive (1 c. à soupe) - Sel, poivre ( )","À l’aide d’un couteau bien aiguisé, coupez la viande de mouton en morceaux réguliers. Épluchez et émincez finement les oignons puis pelez et pressez l’ail. Ensuite, lavez puis coupez le pied de céleri en morceaux et ébouillantez les tomates, pelez-les, épépinez-les puis coupez leur chair en morceaux. Lavez, épongez et ciselez la coriandre fraîche. 
- Faites chauffer l’huile d’olive dans une cocotte ou un plat à tajine placé sur feu doux. Lorsqu'elle est bien chaude, déposez les oignons émincés, puis faites-les revenir pendant 5 min jusqu’à ce qu’ils colorent légèrement. 
- Ajoutez ensuite les morceaux de mouton, puis faites-les saisir sur toutes les faces jusqu’à ce qu’ils soient dorés. Additionnez avec la coriandre ciselée, l'ail pressé et les morceaux de chair de tomates. Salez et poivrez selon vos goûts, mélangez bien, couvrez la cocotte ou le plat à tajine avec le couvercle, puis laissez cuire pendant 1h, toujours à feu doux, en mélangeant régulièrement. 
- Entre temps, portez à ébullition de l’eau dans une casserole sur feu vif. À l’ébullition, plongez les morceaux de céleri, baissez le feu à feu moyen, et laissez cuire pendant 10 min. Égouttez ensuite les morceaux de céleri dans une passoire et ajoutez-les dans le tajine. Additionnez avec les amandes mondées et le safran, puis mélangez bien. Couvrez à nouveau et laissez cuire 30 min, en remuant de temps à autre. 
- À la fin de la cuisson, rectifiez l’assaisonnement en sel et en poivre, si besoin, puis servez de suite ce tajine. Accompagnez-le de semoule pour couscous.", ,"Pour cette recette de Tajine de mouton à la marocaine, vous pouvez compter 20 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de plats Mijotes, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2017/01/04/i115197-tajine-de-mouton-a-la-marocaine.jpeg
84,"Pastilla au poulet, courgettes et cumin façon marocaine",55 min,Intermédiaire, ,Recettes marocaines,"Accompagnée d'une salade verte assaisonnée, cette pastilla au poulet et aux courgettes est idéale à savourer pour le dîner.","Feuille(s) de brick (8 ) - Blanc(s) de poulet  (400 g) - Courgette(s) (4 ) - Oignon(s) (2 ) - Coriandre (1 bouquet(s)) - Cumin en poudre (0,5 c. à café) - Beurre mou (75 g) - Sel poivre ( ) - Sucre glace ( )","Préchauffez le four à 230°C ou sur th. 8. 
- Lavez, séchez, puis ciselez la coriandre fraîche. Réservez-la dans une première assiette. 
- Épluchez et lavez les oignons. Lavez également les courgettes.  Sur une planche de cuisine, émincez ces deux légumes en lamelles, puis réservez-les dans une seconde assiette. 
- Avec un couteau adapté, coupez les blancs de poulet en morceaux réguliers sur une planche de cuisine.  
- Prenez ensuite une poêle, mettez-y 25 g de beurre mou à fondre sur feu moyen. 
- Lorsque le beurre est fondu, déposez les morceaux de poulet dans la poêle et faites-les revenir pendant 10 min. 
- Assaisonnez les morceaux de poulet en y ajoutant du sel, du poivre et le cumin en poudre. Mélangez bien et laissez-les encore quelques minutes à feu doux. 
- À la fin de la cuisson, retirez les morceaux de poulet de la poêle et réservez-les au chaud dans une troisième assiette. 
- Mettez alors les oignons et les courgettes émincés dans la même poêle ayant servie à cuire les morceaux de poulet.  
- Placez la poêle sur feu moyen, puis laissez cuire l’émincé de légumes pendant 5 min. Assaisonnez l’émincé en y ajoutant du sel, du poivre, puis rajoutez-y les morceaux de poulet. Poursuivez la cuisson pendant 5 min supplémentaires. 
- Parsemez la coriandre ciselée sur la préparation dans la poêle. Laissez cuire encore quelques minutes à feu doux en mélangeant régulièrement, puis ôtez du feu et réservez de côté. 
- Faites fondre le beurre mou restant dans un bol au micro-ondes. À l’aide d’un pinceau, enduisez-en une tourtière allant au four. 
- Nappez chaque feuille de brick de beurre fondu, toujours à l’aide du pinceau, puis placez-les les une sur les autres dans la tourtière beurrée. 
- Versez la préparation aux légumes et au poulet par dessus, bien au centre, puis rabattez les feuilles de brick vers le centre afin d’emprisonner la préparation et obtenir la pastilla. 
- Versez le beurre fondu restant sur le dessus de la pastilla, puis étalez-le à l’aide du pinceau. 
- Enfournez la pastilla dans le four préchauffé et laissez-la cuire pendant 10 min ou jusqu’à ce qu’elle soit bien dorée. 
- À la fin de la cuisson, sortez la pastilla du four et démoulez-la sur un plat de présentation. Si vous le souhaitez, saupoudrez la pastilla d’une fine couche de sucre glace. 
- Servez de suite accompagné d’une salade verte assaisonnée.","<p class=""serif-secondary txt-dark-gray"">Utilisez du beurre allégé en calories ou de la margarine végétale pour alléger encore plus cette pastilla au poulet et aux courgettes.</p>","Pour cette recette de Pastilla au poulet, courgettes et cumin façon marocaine, vous pouvez compter 20 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de bricks, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2017/01/03/i115085-pastilla-au-poulet-courgettes-et-cumin-facon-marocaine.jpeg
85,Salade de carottes marocaine,35 min,Facile, ,Recettes marocaines - Pas Cher - Entrée pas chère,"Particulièrement apprécié à Fès, cette salade de carottes marocaine est simple et rapide à réaliser. A déguster sans modération tout au long de l’année !","Carotte(s) (400 g) - Jus de citron (1 c. à café) - Sucre en poudre (0,5 c. à café) - Cannelle moulue (0,25 c. à café) - Persil hâché (1 c. à soupe) - Cumin ( ) - Paprika ( ) - Sel fin ( )","Epluchez et lavez les carottes. Coupez-les en rondelles d’épaisseur moyenne. Faites-les cuire 20 min dans une casserole d’eau bouillante légèrement salée (ou à la vapeur).  A la fin de la cuisson, égouttez-les et laissez-les refroidir 20 à 30 min au frais. 
- Versez ensuite les rondelles de carottes dans un saladier. Salez-les et assaisonnez-les avec le cumin et le paprika selon vos goûts. Mélangez bien. 
- Ajoutez ensuite le jus de citron et le persil haché. Mélangez à nouveau. Terminez en ajoutant la cannelle moulue et le sucre en poudre.  
- Mélangez une dernière fois et réservez votre salade de carottes marocaine au moins 30 min au réfrigérateur avant de la servir.","<p class=""serif-secondary txt-dark-gray"">Variez les plaisirs de votre salade marocaine en remplaçant les carottes par des petites aubergines ou des endives.</p>","Vous pouvez ajouter des pignons de pin, des gousses d’ail et/ou des piments frais pour relever légèrement  votre salade de carottes marocaine et l’accompagner d’une sauce au yaourt (yaourt, jus de citron, ail, cumin et coriandre). Vous pouvez également remplacer le jus de citron par du jus d’orange pour plus d’originalité.",https://img.cuisineaz.com/660x660/2015/05/12/i68841-salade-de-carottes-marocaine.jpg
86,Tajine végétarien aux aubergines,1 h,Facile, ,Recettes marocaines - Végétarien - Aubergine - Carotte - Courgette - Oignon - Pomme de terre,"Nous vous transportons dans les contrées ensoleillées du Maroc avec cette délicieuse recette de tajine aux aubergines végétarien. Les légumes colorés et les épices parfumées se marient harmonieusement dans ce plat traditionnel, créant une explosion de saveurs qui ravira vos papilles. Les aubergines fondantes, les carottes sucrées, les courgettes croquantes, les pommes de terre crémeuses et les oignons blancs aromatiques s'associent pour créer une tajine végétarienne riche en nutriments et très savoureux.",Aubergine(s) (2 ) - Carotte(s) (2 ) - Courgette(s) (2 ) - Pomme de terre Bintje (2 ) - Bouillon de légumes (400 ml) - Oignon(s) (2 ) - Gousse(s) d'ail (3 ) - Piment de cayenne (1 pincée(s)) - Huile d'olive (2 c. à soupe) - Cumin moulu (1 c. à café) - Paprika en poudre (1 c. à café) - Cannelle (1 pincée(s)) - Sel & Poivre ( ) - Coriandre fraîche (1 brin(s)),"Dans une grande cocotte ou une poêle à tajine, faites chauffer l'huile d'olive à feu moyen. Ajoutez les oignons émincés et l'ail, et faites-les revenir jusqu'à ce qu'ils soient légèrement dorés et parfumés. 
- Ajoutez les épices (cumin, paprika, curcuma, cannelle, piment de Cayenne), le sel et le poivre. Mélangez bien pour enrober les oignons et l'ail des différentes épices.
 
- Ajoutez les aubergines, les carottes, les courgettes et les pommes de terre dans la cocotte, préalablement lavés, épluchés et coupés en lamelles. Mélangez délicatement pour répartir les épices.
 
- Versez le bouillon de légumes dans la cocotte. Couvrez et laissez mijoter à feu doux pendant environ 30 à 40 minutes, jusqu'à ce que les légumes soient tendres et que les saveurs se soient bien développées. Remuez de temps en temps pour éviter que les légumes n'attachent au fond de la cocotte. 
- Juste avant de servir, saupoudrez la coriandre fraîche hachée sur le tajine pour une touche d'arôme et de fraîcheur. 
- Servez le tajine végétarien aux aubergines, carottes, courgettes, pommes de terre et oignons blancs chaud, accompagné de pain plat pour un repas complet et nourrissant.", ,"Pour ajouter une touche de douceur à votre tajine, vous pouvez ajouter quelques raisins secs ou des abricots secs réhydratés dans la cocotte pendant la cuisson. Ces fruits secs apporteront une note sucrée qui se marie parfaitement avec les légumes et les épices. De plus, vous pouvez personnaliser cette recette en ajoutant d'autres légumes de votre choix, comme des poivrons ou des tomates, pour varier les textures et les saveurs. Profitez de ce tajine végétarien aux légumes pour un voyage gustatif aux mille saveurs marocaines.",https://img.cuisineaz.com/660x660/2023/07/19/i195343-tajine-vegetarien-aux-aubergines.jpg
87,Spaghettis à la marocaine,18 min,Facile, ,Recettes marocaines,,Spaghettis (500 g) - Viande hachée (250 g) - Tomate(s) fraîche(s) (2 ) - Sauce tomate (1 boîte(s)) - Oignon(s) (1 ) - Champignon(s) (1 boîte(s)) - Sucre(s) (2 ) - Gingembre ( ) - Cumin ( ) - Huile d'olive ( ) - Sel poivre ( ),"Faites cuire les spaghettis. 
- Dans un faitout, mettez un filet d'huile d'olive et mettez les tomates, l'oignon, ajoutez la sauce tomates, mettez les sucres en morceaux, laissez mijoter quelques instants puis ajoutez-y la viande hachée écrasée à la fourchette. 
- Laissez mijoter et ajoutez-y les champignons, ajoutez un peu de sel, de poivre, le gingembre, le cumin et laissez mijoter jusqu'à ce que la viande hachée soit cuite, une fois les spaghettis cuites, ajoutez-y la préparation et arrosez d'un filet d'huile d'olive.", ,"Pour cette recette de Spaghettis à la marocaine, vous pouvez compter 10 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de pates, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2016/04/28/i6762-spaghettis-a-la-marocaine.jpg
88,Salade de pommes de terre à la marocaine,45 min,Facile, ,Recettes marocaines - Pas Cher - Plat pas cher,,"Pomme(s) de terre (1 kg) - Oignon(s) (3 ) - Petit piment rouge(s) (1 ) - Cumin en poudre (1 c. à soupe) - Paprika en poudre (1 c. à café) - Coriandre, graine (1 c. à café) - Coriandre (3 brin(s)) - Huile d'olive (3 c. à soupe) - Sel ( )","Epluchez, lavez les pommes de terre et mettez-les dans une casserole, couvrez-les d’eau froide, salez et faites cuire 20 min après ébullition.  
- Pendant ce temps, pelez et émincez finement les oignons. Ecrasez les graines de coriandre.  
- Faites chauffer l’huile dans une sauteuse et faites-y revenir les oignons émincés en remuant jusqu’à ce qu’ils soient translucides. Saupoudrez-les de la moitié du cumin et des graines de coriandre. Poursuivez la cuisson 3 min en remuant. Réservez.  
- Egouttez-les pommes de terre et laissez-les tiédir. Coupez-les en rondelles épaisses et mettez-les dans un grand plat légèrement creux.  
- Lavez épépinez et émincez très finement le piment.  
- Lavez, séchez et effeuillez la coriandre.  
- Ajoutez les oignons, le piment et la coriandre dans le plat de pommes de terre.  
- Mélangez doucement et saupoudrez du reste de cumin et du paprika. 
- Arrosez d’un filet d’huile d’olive et décorez de feuilles de coriandre.  
- Servez aussitôt.", ,"Pour cette recette de Salade de pommes de terre à la marocaine, vous pouvez compter 20 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de salade, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2013/12/20/i74170-photo-de-salade-de-pommes-de-terre-a-la-marocaine.jpeg
89,Soupe marocaine de lentilles rouges,35 min,Facile, ,Recettes marocaines - Pas Cher - Entrée pas chère,,"Lentille(s) (190 g) - Huile de colza (15 ml) - Oignon(s) (200 g) - Ail (2 gousse(s)) - Gingembre frais (14 g) - Curcuma (2 g) - Cumin en poudre (2 g) - Ras el-hanout (2 g) - Bouillon de poulet (1 l) - Citron(s) pressé(s) (0,5 ) - Sel ( ) - Poivre ( )","Bien rincer les lentilles à l'eau froide et les égoutter. 
- Chauffer l'huile dans une casserole à feu moyen. Y faire 
-  revenir l'oignon et l'ail finement hachés, en remuant régulièrement, 4-5 min jusqu'à ce que translucide. Ajouter le gingembre râpé et les épices. Cuire 1 min en brassant. Ajouter les lentilles et le 
-  bouillon. Saler et poivrer.  
-  Porter à ébullition, réduire le feu et laisser 
-  mijoter à découvert 15-20 min, jusqu'à ce que les lentilles soient défaites. Ajouter le jus de citron et vérifier l'assaisonnement. 
- Réduire la soupe en purée au mélangeur e servir dans des bols.", ,"Pour cette recette de Soupe marocaine de lentilles rouges, vous pouvez compter 10 minutes de préparation. Pour en savoir plus sur les aliments de cette recette de soupes, rendez-vous ici sur notre guide des aliments.",https://img.cuisineaz.com/660x660/2014/02/24/i112948-soupe-marocaine-de-lentilles-rouges.jpg
90,Basboussa au lait concentré sucré,55 min,Facile, ,Ramadan - Recettes marocaines - Recettes algériennes - Pas Cher - Recettes tunisiennes - Semoule - Dessert pas cher,"La basboussa au lait concentré sucré est une pâtisserie orientale que l’on retrouve couramment sur les tables du ramadan, accompagnée d’un verre de thé à la menthe. Il s’agit d’un gâteau à base de semoule et imbibé de fleur d'oranger ou d’eau de rose. Facile à réaliser, il doit néanmoins être préparé à l’avance pour lui permettre d’absorber correctement le sirop.",Eau (600 ml) - Sucre (300 g) - Eau de fleur d'oranger (1 c. à soupe) - Semoule fine (400 g) - Lait concentré sucré (1 boîte(s)) - Œuf(s) (1 ) - Huile neutre (50 ml) - Eau de fleur d'oranger (1 c. à soupe) - Levure chimique (1 c. à café),"Le sirop : Mélangez dans une casserole l’eau, le sucre et la fleur d’oranger. Laissez bouillir 15 minutes environ puis laissez tiédir.  
- Le gâteau : Dans un saladier, à l’aide d’une fourchette, mélangez le lait concentré sucré, l'œuf, l’huile et la fleur d’oranger. Ajoutez la semoule et la levure et mélangez à nouveau.  
- Beurrez un moule à gâteau carré ou rectangulaire et versez-y la pâte à gâteau en lissant la surface avec une cuillère. Faites cuire au four à 180°C environ 25 minutes, jusqu’à ce que la surface soit dorée. 
- Sitôt la basboussa sortie du four, arrosez-la de sirop en trois fois, en attendant une dizaine de minutes entre chacune. Décorez à votre convenance (noix de coco râpée, amandes, pistaches…) et laissez reposer 4 heures minimum.  
- Découpez de petites parts de gâteaux et placez-les dans des caissettes en papier pour les servir. ", ,"Pour couper plus facilement votre basboussa au lait concentré sucré, n’hésitez pas à la placer au frais pendant le repos. C’est également une bonne façon de la conserver. ",https://img.cuisineaz.com/660x660/2022/02/18/i182954-basboussa-au-lait-concentre-sucre.jpeg
