name,ingredients,instructions,preparation_time,cooking_time,,total_time,image_url,source
Pain Marocain ou la revanche de la levure de boulanger !,500 g de farine500 g de semoule de blé dur1/2 l d'eau tiède2 sachets de levures de boulanger style BRIOCHIN1/2 c à café de selGraines de sésame (facultatif),"Dans un saladier, mélanger la farine avec la semoule. Former un puits et ajouter la levure délayée dans un verre à thé d'eau tiède Ajouter le sel. Mélanger le tout en versant petit à petit l'eau tièdePétrir énergétiquement la pâte avec les poings pendant 20 minutes. Il faut obtenir une pâte malléable qui se détache aisément du plat.Former 3 boules. Fariner un plan de travail et aplatir chaque boule avec la main de façon à obtenir un pain rond de 1,5 cm d'épaisseur environ.Ajouté à ce moment là des graines de sésames sur le plan de travail et sur ma boule de pâte avant de l'aplatir. Faire un trou au milieu.Recouvrir d'un linge propre et laisser lever 1h environ près d'un endroit chaud.Enfoncer doucement le doigt dans la pâte, si la trace disparaît aussitôt alors la pâte est levée.Enfourner 20 minutes dans un four préchauffer thermostat 160 degrés. Sortir du four et envelopper dans un linge propre ...",60 min,20 min,,80 min,,https://www.ptitchef.com//recettes/autre/pain-marocain-ou-la-revanche-de-la-levure-de-boulanger-fid-3535
Taboulé marocain,300 g de graine de couscous moyenne2 tomates2 petits oignons frais½ bouquet de persil plat½ bouquet de menthe fraîchejus de citronselpoivre1 capsule de safran3 cuillères à soupe d'huile d'olive,"Dans une casserole, faire bouillir 40 cl d'eau salée avec le safran.Verser sur la semoule et laisser gonfler en recouvrant le saladier pendant 5 minutes.Travailler la semoule à l'aide d'une fourchette afin d'éliminer les paquets. Verser l'huile d'olive et réserver.Couper les tomates en tout petits dès, faire de même avec les oignons. Ciseler la menthe et le persil. Incorporer tout ces ingrédients à la semoule.Ajouter du jus de citron et rectifier l'assaisonnement.Placer au réfrigérateur durant au moins 2 h avant de servir.",15 min,0 min,,15 min,,https://www.ptitchef.com//recettes/entree/taboule-marocain-fid-1024754
Mon menu marocain #5 : Bissara,500 g de fèves pelées surgelées1 gousse d'ail2 cubes de volaille500 ml d'eau5 Cuillères à soupe d'huile d'olive (facultatif)selpoivre1 Cuillère à café de cumin en poudre1 Cuillère à café de paprika,"Dans une casserole, portez à ébullition l'eau avec les 2 cubes de bouillon.Laissez mijoter le temps de préparer la recette.Plongez les fèves dans un grand volume d'eau bouillante et faites-les cuire 5 minutes.Pelez et râpez l'ail.Égouttez les fèves.Ajoutez l'ail et le bouillon, puis mixez le tout à l'aide d'un mixeur plongeant.Rectifiez l'assaisonnement au besoin.Servez sans attendre. Saupoudrez le dessus d'un trait de paprika et de cumin.Ajoutez 1 Cuillère à soupe d'huile d'olive par assiette si vous ne faites pas régime, sinon, on s'en passe très bien.",6 min,5 min,,11 min,,https://www.ptitchef.com//recettes/plat/mon-menu-marocain-5-bissara-fid-1285371
Mon menu marocain #4 : M'semen,250 g de farine1/2 Cuillère à café de sel (1 cuillère ne serait certainement pas de trop)200 ml d'eau100 ml d'huile de tournesol,"Dans un saladier, mélangez la farine et le sel.Ajoutez l'eau et pétrissez la pâte jusqu'à ce qu'elle devienne élastique tout en restant légèrement collante.Avec vos mains huilées, façonnez une douzaine de pâtons.Aplatissez un pâton très finement sur une plaque huilée.Huilez la pâte et repliez les bords vers le centre vers le centre de manière à former un carré ou un rectangle.Aplatissez-le à nouveau et huilez encore une fois.Réalisez ainsi les autres crêpes.Dans une poêle bien chaude, déposez les crêpes 2 par 2 et faites cuire 2 minutes de chaque côté, à feu moyen.",10 min,4 min,,14 min,,https://www.ptitchef.com//recettes/autre/mon-menu-marocain-4-m-semen-fid-1283278
Pain Marocain,350 g de farine type 55150 g de farine semi-complète Type 1102 cuillères à soupe de levure fraîche1 cuillère à soupe rase de sel1 cuillère de sucre semoule1 cuillère à soupe d'huile d'olive300 ml d'eau tiède,"Dans un bol moyen, diluez la levure avec le sucre dans un 1/3 d?eau tiède.Laissez de côté 10 minutes jusqu'à ce que la levure forme des bulles. Faites un puit dans la farine et ajoutez la levure et 2/3 d'eau.Pétrissez pour une 20aine de minute à main ou 10 minutes avec un robot du style KITCHENAID.L'équation eau-farine dépend du taux d'absorption de la farine, ajustez en fonction du besoin. Vers la moitie du temps de pétrissage, ajoutez la cuillère d'huile et continuez de pétrir.La pâte doit présenter une texture souple, élastique et doit se détacher des parois de la cuve ou du plan de travail.Couvrir la pâte d'un linge propre et la laisser reposer pendant 1 h 30 dans un endroit tiède.Sur un plan de travail fariné, « dégazer » la pâte en rompant la pâte 3 a 4 fois avec la paume de la main pour évacuer l'air qui se trouve à l'intérieur.Former des boules uniformes de la taille d?une balle de tennis et roulez une par une sur un plan de travail toujours fariné.Aplatissez les boules. A ce stade, le pain doit avoir une forme ronde et 1 à 1.5 cm d'épaisseur. Si vous voulez plus de mie, ajustez en fonction.Cette épaisseur va doubler puisqu'on va laisser le pain lever pour une 30 minutes à 1 h environ, couvert dans un endroit chaud.Préchauffez le four a 200 degrés, faites passer du beurre fondu dessus (cela vous donnera une saveur incroyable), ou de l'huile d'olive, ou dorez avec le jaune d'œufs et le lait.Enfourner dans un four préchauffé pendant 15 à 20 minutes à 200° C.",15 min,20 min,,35 min,,https://www.ptitchef.com//recettes/autre/pain-marocain-fid-760542
Khobz mzaweq (pain marocain aux sésames et anis) et les bonbons à l'anis de Flavigny,500 g de farinesel1 a 2 cuillères à soupe de grains de sésame1 cuillère à soupe de graines d'Anis1 cuillère à soupe de levure boulangère1 oeuf1 jaune d’oeuf pour la dorureeau tiède ( ou moitié eau moitié lait)1 cuillère à soupe d'huile1 cuilère à soupe de sucre,"Dans une jatte, mélanger la farine avec la levure sel et les graines de sésames ainsi que l'anis, le sucre creuser un puits, casser votre œuf et verser petit à petit l'eau tiède tout en mélangeant les ingrédients.Quand toute la farine est bien mélangée, bien pétrir en écrasant la pâte plusieurs fois avec les poings pour la rendre homogène.Ajouter l'huile en continuant à pétrir la pâte . Travailler la pâte pendant 15 minutes avec les paumes des mains. Rouler la pâte sur le plan de travail pour avoir un cône, laisser reposer 15 minutes.Placer le cône sur une plaque de cuisson et l'aplatir pour avoir un pain rond. Dorer le pain de jaune d’œuf. Avec un couteau long et pointu commencez à faire des incisions tout au long du pain et dans tout les sens afin d'avoir des rayures et des carreaux.Enfourner à 190°C jusqu'à ce que le pain soit doré.Déguster le chaud ou le jour même pour savourer le parfum des graines de sésames et anis ainsi que sa texture moelleuse.",35 min,20 min,,55 min,https://www.ptitchef.com//imgupl/recipe/khobz-mzaweq-pain-marocain-aux-sesames-et-anis-et-les-bonbons-a-l-anis-de-flavigny--md-339113p550030.jpg,https://www.ptitchef.com//recettes/autre/khobz-mzaweq-pain-marocain-aux-sesames-et-anis-et-les-bonbons-a-l-anis-de-flavigny-fid-512728
Pâte à Tartiner aux Saveurs du Sud Marocain : AMLOU,500 g d'amandes émondées500 g de miel liquideHuile de friture1/2 l d'huile d'argan,"Dans un premier temps, faites frire les amandes dans de l'huile bien chaude. Une fois bien dorées, les hacher au mixeur ou robot.Ajouter le miel délicatement puis finissez par incorporer l'huile d'argan petit à petit tout en remuant la préparation, vous pouvez remplacer les amandes par des cacahuètes.Vous obtiendrez une pâte assez lisse et sans trop de grumeaux (voire pas du tout). L'Amlou se conserve très bien dans une boîte hermétique ou un bocal en verre (surtout couvrir).",15 min,0 min,,15 min,https://www.ptitchef.com//imgupl/recipe/pate-a-tartiner-aux-saveurs-du-sud-marocain-amlou--md-117858p175328.jpg,https://www.ptitchef.com//recettes/autre/pate-a-tartiner-aux-saveurs-du-sud-marocain-amlou-fid-90392
Pain marocain à la semoule de blé et aux graines,300 ml d'eau1 cuillère à soupe d'huile d'olive1 cuillère à café de jus de citron1 cuillère à café de sel225 g de semoule de blé275 g de farine T551 cuillère à soupe de sucre5 g de levure sèche,"Le matin, faire une mini poolish en mélangeant 275 g de T55 avec 275 g d'eau, le sucre et la levure dans un saladier.Filmer votre saladier, faire quelques trous, et garder au chaud.Au bout de 2 Heures dans un autre saladier, mélanger la farine, la semoule et les graines pour uniformiser le tout.Mettre le reste des ingrédients dans la MAP, ainsi que le mélange farineux, ajouter la poolish, et lancer le programme ""pâte"".A la fin de votre programme, sortir votre pâton et le façonner à votre guise.Laisser lever pendant 1 Heure en vaporisant régulièrement d'eau.Préchauffer votre four à 210°C. Faire les grignes, vaporiser d'eau et enfourner pour 30 minutes environ.",240 min,30 min,,270 min,https://www.ptitchef.com//imgupl/recipe/pain-marocain-a-la-semoule-de-ble-et-aux-graines--md-79942p111779.jpg,https://www.ptitchef.com//recettes/autre/pain-marocain-a-la-semoule-de-ble-et-aux-graines-fid-34704
Crèpe marocaine milles trous,2 tasses de semoule extra fine1 tasse de farine1 sachet de levure chimique4 tasses d’eau tiède1 cas de levure boulangère,"Mélanger tous les ingrédients ensemble et mixer quelques minutes.Quand la pâte est bien liquide et sans grumeaux, couvrir de papier film et laisser reposer 30 min à 1hFaire chauffer une poêle anti adhésive sur feu doux et poser une louche de pâte .Ces crêpes se chauffent seulement d’un côté ne les retourner surtout pas. Badigeonner de beurre fondu et saupoudrer de sucre.",5 min,15 min,,20 min,https://www.ptitchef.com//imgupl/recipe/crepe-marocaine-milles-trous--md-60561p78168.jpg,https://www.ptitchef.com//recettes/dessert/crepe-marocaine-milles-trous-fid-1528463
BOULETTES DE VIANDE A LA MAROCAINE,"2 gousses d'ail,4 steaks hachés de boeuf,1 cuillère à soupe de ras el hanout,2 cuillères à soupes de coriandre fraîche ciselée,4 cuillères à café d'huile d'olive,2 oignons,600 grammes de tomates,400 grammes de courgettes,1 cuillère à café de cumin,1 cuillère à café de paprika,sel et poivre.","Peler et hacher l'ail. Dans un saladier malaxer la viande avec l'ail, le raz-el-hanout, 1 cuillère à soupe de coriandre et une cuillère à café d'huile. Saler et poivrer.  Former 12 boulettes. Peler et émincer les oignons. Plonger les tomates dans l'eau bouillante, les peler et les couper en 4. Peler partiellement les courgettes et les détailler en cubes.  Faire chauffer 3 cuillères à café d'huile dans une cocotte, y faire revenir l'oignon 1 minute à feu moyen. Ajouter les courgettes et cuire 2 minutes en remuant. Incorporer les tomates, saupoudrer de cumin et de paprika, saler et poivrer.  Arroser d'un petit verre d'eau et continuer la cuisson pendant 20 minutes à feu doux.  Préchauffer le four à 210°C (th.7) 10 minutes à l'avance. Verser le mélange de légumes dans un plat à four. Déposer les boulettes de viande et enfourner pour 15 minutes.  Retourner et arroser de jus à mi-cuisson. Au moment de servir parsemer d'une cuillère à soupe de coriandre ciselée.  Répartir dans les assiettes. Accompagner de semoule à couscous.",20 min,40 min,,60 min,,https://www.ptitchef.com//recettes/plat/boulettes-de-viande-a-la-marocaine-fid-1513014
Soupe marocaine (harira),"200 g de viande de mouton (ou de boeuf ou abats de poulet)1 bol de pois chiches trempés100 g de lentilles1 coulis de tomates1 bouquet de persil, 1 bouquet de coriandre2 branches de céleri1 oignonUne petite boite de concentré de tomate1 pincée de cannelle1 pincée de safran1 grand verre de farine1 noix de beurre ou 1 c.à.c de smen60 g de cheveux d'anges1 oeufSelpoivre","Couper la viande en petits dés, hacher finement le coriandre, le persil, le céleri et l'oignon.  Les mettre dans une cocotte-minute, ajouter les pois chiches, les lentilles, le safran, la cannelle, le poivre, le sel, la noix de beurre (ou smen) et le coulis de tomates.  Recouvrir de 2 litres d'eau et faire cuire à couvert 20 à 30 min.  Dans un Tupperware, délayer la farine dans 1/2 litre d'eau, secouer énergiquement pour éviter les grumeaux.  Une fois que les pois chiches sont bien cuits, mettre la cocotte sur feu moyen et y incorporer le concentré de tomate et cheveux d'anges, dans 5 mn ajouter le mélange farine + eau tout en remuant. Porter à ébullition sans cesser de remuer.  Dans un bol brouiller l'uf et le verser dans la préparation tout en remuant.  Laisser bouillir l'ensemble pendant 10 à 15 minutes.  Vérifier l'assaisonnement et la consistance de la soupe qui doit être veloutée mais non épaisse, rajouter de l'eau si c'est le cas.  Remarque  Les pois chiches doivent être mis à tremper la veille.  Une fois la soupe servie, vous pouvez y mettre un peu de jus de citron.  La soupe s'accompagne de dattes et de figues séchées.",15 min,50 min,,65 min,https://www.ptitchef.com//imgupl/recipe/soupe-marocaine-harira--md-8900p11256.jpg,https://www.ptitchef.com//recettes/entree/soupe-marocaine-harira-fid-644275
Ragoût de boulettes à la marocaine,"30 ml d'huile d'olive (2 c. à soupe)30 ml de farine (2 c. à soupe ; moi de la farine grillée faite maison ; le goût est bien meilleur)500 ml de bouillon de poulet (2 tasses)15 ml de zestes de citron (1 c. à soupe)500 ml de mini-carottes (2 tasses)SelHarissa (au goût)300 g de boeuf (haché ; 2/3 de lb ; moi porc haché)300 g d'agneau (haché ; 2/3 de lb ; moi porc haché)60 ml de chapelure nature (1/4 de tasse)60 ml d'échalotes sèches (hachées ; 1/4 de tasse ; moi deux échalotes françaises)45 ml de menthe (fraîche hachée ; 3 c. à soupe ; moi 1 c. à thé)10 ml d'ail (haché ; 2 c. à thé ; moi 3 gousses d'ail)5 ml de cumin (1 c. à thé)2,5 ml de curcuma (1/2 c. à thé)1 oeufSelHarissa (au goût)","Dans un bol, mélanger les ingrédients des boulettes. Façonner 16 boulettes en utilisant environ 45 ml (3 c. à soupe) de préparation pour chacune d'elles.Dans une casserole, chauffer l'huile à feu moyen. Faire dorer les boulettes de 3 à 4 minutes.Saupoudrer de farine et remuer. Verser le bouillon en raclant le fond de la casserole avec une cuillère de bois.Ajouter les zestes et les mini-carottes. Saler et ajouter la harissa. Porter à ébullition. Couvrir et laisser mijoter à feu doux-moyen de 18 à 20 minutes.Source: 5 ingrédients/15 minutes transcrit par ~Lexibule~",30 min,18 min,,48 min,,https://www.ptitchef.com//recettes/plat/ragout-de-boulettes-a-la-marocaine-fid-1545115
Salade marocaine,"3 tomates2 poivrons verts grillés,lavés et coupés en petit morceauun oignonpersil et coriandre2 c à café d huile d olive1 c à s de vinaigre de citronun peu de selun peu de poivreun peu de cumin","Dans un saladier mettre les tomates coupées en petit morceau rajouter les poivrons, l oignon coupé en petit morceau,le persil,le coriandre.Rajouter l huile d olive,le vinaigre,le sel,le poivre,le cumin.Mélanger le toute laisser au frais avant de servir",5 min,0 min,,5 min,https://www.ptitchef.com//imgupl/recipe/salade-marocaine--md-35309p43415.jpg,https://www.ptitchef.com//recettes/entree/salade-marocaine-fid-1488839
Couscous à la Marocaine par étapes et quelques astuces,"1,5 kg d'épaule de mouton2 oignons blancs1 petit bouquet de persil platUn grand verre de pois chiche secs4 cuillères à soupe d'huile neutre1 cuillère à café pleine de Rass el Hanout1 cuillère à café de poivre noir1 cuillère à café de gingembre1/2 cuillère à café de pistils de safran1 cuillère à café de gingembre mouluun cube de bouillon type Knorrun piment très doux type petit poivron vert appelé ""poivron piquant""sel4 grosses carottes2 courgettes4 navets2 pommes de terre ou patate douces1 morceau de potiron, des fèves.si  vous voulez varier : du chou blanc, du poivron, aubergine (attention ça colore la sauce)1 à 2 tomatesEnviron 4 L d'eau1 kg de couscous moyen2 à 4 cuillères à soupe d'huile d'olive1/2 verre d'eau à température ambianteSelSmen (beurre rance spécial)","Préparation du bouillon : Mettre l'huile dans la marmite à couscoussier, faire chauffer puis ajouter la viande coupée en gros morceaux.  Incorporer les deux oignons coupés en grosses lamelles, le bouquet de persil, les épices et mélanger. Faire saisir quelques instants, il faut que la viande colore légèrement mais pas trop, contrairement au tajine.Ajouter les pois-chiche et le poivron piquant. Astuce : tremper les pois- chiche la veille dans de l'eau du robinet tiède environ une nuit. Le lendemain égoutter puis mettre dans un grand sac et le place au congélateur jusqu'au moment voulu.  Mélanger, puis arroser d'eau en couvrant généreusement toute la viande. Couvrir et laisser cuire le temps de préparer les légumes et la semoule.Pendant ce temps, nettoyer et éplucher les légumes, les couper en gros morceaux.  Par exemple : la carotte et la courgette une fois dans le sens de la largeur puis une fois dans le sens de la longueur. La pomme de terre et le navet en quatre dans le sens de la longueur, laisser les fèves ainsi, tailler le potiron en moyen morceaux, couper le chou en gros quartiers .Dès que la viande est à moitié fondante et se détache de l'os. Ajouter le navet et la carotte, comptez 15 minutes puis ajouter le reste de légumes, compter un temps de cuisson de 15 minutes. Le potiron est cuit à part dans une casserole avec une louche de bouillon et une louche d'eau. Goûter et rectifier l'assaisonnement.Préparation de la semoule à couscous : Dans un très grand saladier, mettre le couscous, le sel et un bon filet d'huile d'olive. Mélanger au doigts (et non à la main entière) pour enduire les graines. Arroser de peu d'eau petit à petit tout en mélangent.  On hydrate ainsi le couscous, sans cela il serait sec et ne cuirait pas.  Les graines se détachent, roulent et ont un effet mouillé.  Placer ensuite la semoule à couscous dans le haut du couscoussier réchauffé au préalable sur le bouillon.  Luter les deux parties du couscoussier à l'aide d'un joint ou à défaut à l'aide d'un sachet en plastique roulé ou un torchon. Vous pouvez soit couvrir le couscous soit le laisser ainsi.Après quelques minutes de cuisson (15 minutes environ), retirer le couscous et placer dans un grand plat.  Asperger d'un peu d'eau et mélanger à l'aide d'une cuillère en bois ou vos mains pour aérer les graines.  Remettre dans le haut du couscousier et répéter l'opération 3 à 5 fois au bout de 15 à 20 minutes, dès que le coucous est cuit. N'hésitez pas à le goûter. A la dernière étape, ajouter 1/4 c. à café de Smen ou de beurre rance pour parfumer et donner un subtil goût.  Astuce : arroser votre couscous d'une petite louchette de bouillon et mélanger, il va ainsi s'imprégner de toutes les saveurs.Pour le dressage : Mettre en dôme le coucous dans un grand plat creux. Faire un puits au centre. Arroser tout le couscous de bouillon, compter environ 3 bonnes louches. Placer la viande au centre, décorer de légumes de manière homogène : une carotte, une courgette, une pomme de terre... Terminer par le potiron et les pois-chiches. Arroser de nouveau de bouillon. Disposer le reste de bouillon dans un bol pour se servir à table. Servir aussitôt, très chaud. Déguster avec de la Harissa, du lait fermenté ou caillé. Il se peut que l'on vous serve le couscous avec des raisins frais ou de la pastéque coupée, ça permet de rafraîchir le palais car le couscous se déguste très chaud.",30 min,45 min,,75 min,https://www.ptitchef.com//imgupl/recipe/couscous-a-la-marocaine-par-etapes-et-quelques-astuces--md-103403p152158.jpg,https://www.ptitchef.com//recettes/plat/couscous-a-la-marocaine-par-etapes-et-quelques-astuces-fid-71847
Pain de semoule extra-fine à la marocaine,300g de farine tamisé600g de semoule extra fine1 sachet de levure boulangère1 cuillère à soupe  de sel1 cuillère à café de sucre700ml d'eau tiède.,"Diluer la levure dans un verre d'eau tiède et le sucre, laisser lever environ 15 min Mélanger les deux farines,et mettez les farines dans le bol à pétrin ( au Maroc on utilise la "" Gassâa"" un plat en terre cuite) Faire un puits et y ajouter le sel et la levure pétrir en ajoutant de l'eau au fur et à mesure,pétrissez cette pâte pendant 20 minutes jusqu'à avoir une pâte lisse et élastique et qui se détache du bords du bol à pétrin. Diviser cette boule en trois et confectionner trois pains, parsemez de semoule extra-fin.  Laisser reposer environ 10 mn et les aplatir avec la main en formant un rond sur environ 1 cm dépaisseur +/- (selon lépaisseur souhaitée , saupoudrez encore de semoule,couvrez les, laisser reposer à nouveau la pâte une petite heure environ dans un endroit chaud à l'abri des courants d'air ( perso le four ). Faite chauffer votre four,puis enfourner votre pain à 280 th pendant 30 mn environ selon votre four!..  Et voilà,déguster le chaud pour savourer sa texture moelleuse avec un tajine c'est un régal !.",30 min,25 min,,55 min,,https://www.ptitchef.com//recettes/autre/pain-de-semoule-extra-fine-a-la-marocaine-fid-1180351
Salade d'oranges à la marocaine,6 oranges25 g de sucre1 cuillère à soupe d'eau de fleur d'orangerCannelle en poudre,"Peler les oranges et lever les suprêmes.  Placer les morceaux d'oranges dans 4 verrines.  Dans le jus d'orange récupéré au moment de la découpe, mélanger le sucre (bien le dissoudre) et la fleur d'oranger.  Arroser les verrines de ce sirop, puis saupoudrer chaque verrine de cannelle en poudre. Servir très frais.  La salade d'oranges est plus communément disposée dans des assiettes, mais pour des raisons de praticité, j'ai préféré les verrines, à vous de voir.",20 min,0 min,,20 min,https://www.ptitchef.com//imgupl/recipe/salade-d-oranges-a-la-marocaine--md-12135p15184.jpg,https://www.ptitchef.com//recettes/dessert/salade-d-oranges-a-la-marocaine-fid-806832
Boulettes au coco ultra fondantes (Pâtisserie Marocaine),1 boîte de lait concentré sucré Nestlé500 g de noix de coco séchéeCaissettes,"Réserver une petite assiette de coco pour l'enrobage.Verser le lait concentré dans un saladier.Ajouter la noix de coco jusqu'à l'obtention d'un mélange épais et facile à façonner.Former des boulettes de la taille d'une noix, les placer dans l'assiette de coco pour les enrober.Placer les caissettes et garder au frais dans une boîte bien fermée.",18 min,0 min,,18 min,https://www.ptitchef.com//imgupl/recipe/boulettes-au-coco-ultra-fondantes-patisserie-marocaine--md-118018p175640.jpg,https://www.ptitchef.com//recettes/dessert/boulettes-au-coco-ultra-fondantes-patisserie-marocaine-fid-90662
Ragoût d'agneau à la marocaine,"4 côtelettes d'agneau1 oignon2 pommes de terre4 carottes moyennes250g de pois chiches2 poignées de pois cassés1 cuillère à café de cumin1 pincée de cannelle1 cuillère à café de cumin1 cuillère à café de paprikaSel, poivre4 verres d'eau2 cuillères à soupe d'huile d'olive","Saisir les côtelettes dans lhuile avec loignon pendant 10 minutes. Ajouter les carottes, laisser mijoter un peu, ajouter les épices, mouiller avec de leau. Ajouter les pommes de terre coupées en quartier, carottes et les pois chiches secs réhydratés à l'avance et les pois cassés secs.   Faire cuire environ 45 minutes à feu moyen en mouillant si nécessaire.",20 min,45 min,,65 min,,https://www.ptitchef.com//recettes/plat/ragout-d-agneau-a-la-marocaine-fid-1375219
Carottes râpées à la marocaine,"600g de carottes100g de raisins secs4 oranges4 c à s dhuile végétale2 c à s de vinaigre balsamique1 gousse dail2 pincées de gingembre, cannelle, cumin en poudre2 c à s de miel1 bouquet de coriandreSel","Pressez les oranges et faites chauffez le jus récolté dans une casserole. Puis faites-y gonfler les raisins environ 10min.  Pendant ce temps, lavez, épluchez et râpez les carottes.  Ecrasez la gousse dail. Hachez le bouquet de coriandre. Réservez.  Dans un saladier, placez les carottes râpées, les raisins égouttés, lail, la coriandre. Ajoutez les épices (gingembre, cannelle, cumin), le miel, lhuile et le vinaigre. Salez.  Mélangez le tout.  Vous pouvez éventuellement servir cette salade avec des boulettes de viande.",20 min,0 min,,20 min,,https://www.ptitchef.com//recettes/entree/carottes-rapees-a-la-marocaine-fid-327353
Boules fondantes à la noix de coco et confiture ( pâtisserie marocaine ),400 à 450g de farine2 oeufs175 g de sucre200 ml d'huile neutre1/2 sachet de sucre vanillé ou un filet d'extrait de vanille liquide1 sachet de levure chimique ou 2 cuillères à café rases1 pincée de selConfiture d'abricots ou de fraises ou framboises tiédieNoix de coco râpée,"Dans un grand bol, mélanger les œufs avec le sucre, le sel puis ajouter l'huile, le sucre vanillé ( ou la vanille ), la levure chimique ainsi que la farine. Ajouter d'abord une moitié de farine puis le restant de la farine en deux fois jusqu'à bonne consistance et avoir une pâte lisse, homogène. La pâte doit etre plutot souple mais pouvoir se façonner en boulettes.Sulfuriser une plaque de cuisson. Préchauffer le four à 180°C.Former de très petites boulettes si vous doubler vos petits gâteaux ou un peu plus grosse si vous les utilisez seuls, sans les doubler. Les disposer de façon espacées sur la plaque de cuisson car ils s'étalent un peu et gonflent légèrement à la cuisson.Enfourner et bien surveiller la cuisson. Les gâteaux ne doivent pas beaucoup colorer afin de préserver leur fondant et leur moelleux. Ils doivent être juste blond très clair.Chauffer la confiture au micro-onde pour la liquéfier. On peut ajouter un peu d'eau de fleur d'oranger ou d'eau de rose à la confiture. Par exemple, eau de fleur d'oranger pour une confiture d'abricot et eau de rose pour une confiture à base de fruits rouges (fraises, framboises ... ).Plonger les petites boules encore chaudes-tièdes dans la confiture pendant quelques minutes afin que les boules soient bien imprégnées puis les plonger soit doublées ou seule dans une assiette de noix de coco râpée et bien les rouler dans tous les sens afin que la noix de coco adhère bien aux boules.Laisser totalement refroidir puis les disposer dans des caissettes. Ces boules de coco se gardent aisément plusieurs jours dans une boite en fer hermetique bien fermée.",30 min,15 min,,45 min,https://www.ptitchef.com//imgupl/recipe/boules-fondantes-a-la-noix-de-coco-et-confiture-patisserie-marocaine--md-318829p518706.jpg,https://www.ptitchef.com//recettes/autre/boules-fondantes-a-la-noix-de-coco-et-confiture-patisserie-marocaine-fid-447857
POULET à la MAROCAINE aux OLIVES (au Crock-Pot Mijoteuse),"1 poulet de 1.5 kg4 gousses d'ail écrasées3 oignons hachéssel, poivre1/2 cuillère à café de gingembre en poudre2 doses de safraneau (20 cl) + bouillon de poule dégraissé (1)1 cuillère à soupe de persil plat et de coriandre hachés100 g d'olives rouges et 1 citron confit.Courgettes + tomates","Mettre le récipient de la mijoteuse sur votre gaz et faire revenir les oignons hachés avec un peu d'huile d'olives, l'ail, le sel et y faire saisir votre poulet.  Le tourner jusqu'à une belle coloration.Ajouter les épices, continuer de le remuer et tourner pour qu'il soit bien coloré par le safran.Remettre votre récipient dans le socle de la mijoteuse.Ajouter les 20 cl d'eau dans lequel vous aurez fait fondre 1 tablette de bouillon de poule dégraissé.  Ajouter les courgettes coupées en dés et les morceaux de tomates.  Mettre 6 heures sur ""Low"" (ce que j'ai fait) ou 4 heures sur ""Hight"".1 heure avant la fin de la cuisson, ajouter les olives, le persil, la coriandre et le citron confit coupé en lamelles.",20 min,6 min,,26 min,,https://www.ptitchef.com//recettes/plat/poulet-a-la-marocaine-aux-olives-au-crock-pot-mijoteuse-fid-310708
Spaghettis à la marocaine,Des spaghettis500g de boeuf hachée1 oignon1 boîte de tomates concassées1 petite boîte de tomate concentrée1 cc de cumin1/2 cc de cannelle1/2 cc de poivreMenthe,"Faire revenir l'oignon dans de l'huile d'olive.  Ajouter le beouf hâché, cuire quelques minutes.  Ajouter les épices, cuire quelques minutes.  Ajouter les tomates concassées et le concentré de tomate.  Baisser le feu, laisser mijoter 15min jusqu'à ce que la sauce s'épaississe.  Incorporer la menthe et verser sur les pâtes (cuites bien sûr!!)",5 min,25 min,,30 min,,https://www.ptitchef.com//recettes/plat/spaghettis-a-la-marocaine-fid-1375408
Brochettes d'agneau à la Marocaine,"1.5 kg de gigot d'agneau désossé, paré et coupé en cubes...1 oignon rouge coupé en dés1/3 de tasse de coriandre fraîche hachée1 c ; à soupe de menthe fraiche hachée2 cuillères à soupe de jus de citron frais2 gousses d'ail, hachées2 cuillères à café de paprika douxcuillère à café de cumin en poudre1 / 4 c. à thé de poivre noir fraîchement moulu3 / 4 de cuillère à café de sel1/2 verre d'huile d'olives1 c à café de safran","Mélanger tous les ingrédients dans un grand bol. Couvrir et laisser mariner au réfrigérateur 2 heures ou même toute la nuit pour un résultat meilleur et une viande plus tendre. Préparer le gril à feu moyen-vif.    Enfilez les morceaux de viande sur les pics à brochette.   Faites les cuire sous toutes les faces sur le barbecue pendant une dizaine de minutes en les arrosant de temps en temps de leurs jus.    Servez les brochettes à la marocaine comme le veut la coutume avec un thé à la menthe, une salade tomates oignons poivrons et du pain marocain.  Bon appétit!",10 min,10 min,,20 min,,https://www.ptitchef.com//recettes/autre/brochettes-d-agneau-a-la-marocaine-fid-1148664
LEGUMES-RACINES AU FOUR à LA MAROCAINE,des carottesdes navetsdes panaisdes pommes de terredes topinambours1/2 cuillère à café de curcuma moulu1 cuillère à café de cumin mouluselpoivrehuile d'olive,"Préchauffer le four à 220°.Mélanger le curcuma , le cumin , le sel , le poivre et l'huile d'olive.Bien enrober les légumes avec cette huile aromatisée, ranger les légumes dans un plat.Cuire à découvert pendant environ 50 minutes en retournant de temps à autre les légumes pour obtenir une cuisson uniforme.",10 min,50 min,,60 min,,https://www.ptitchef.com//recettes/plat/legumes-racines-au-four-a-la-marocaine-fid-687753
